0	1	1	1	999	999	999	999	999	999	999	999	999	999
1	0	1	999	999	999	999	1	999	999	999	999	999	999
1	1	0	999	999	1	999	999	999	999	999	999	999	999
1	999	999	0	1	999	999	999	999	999	1	999	999	999
999	999	999	1	0	1	1	999	999	999	999	999	999	999
999	999	1	999	1	0	999	999	999	1	999	999	1	999
999	999	999	999	1	999	0	1	999	999	999	999	999	999
999	1	999	999	999	999	1	0	1	999	999	999	999	999
999	999	999	999	999	999	999	1	0	1	999	1	999	1
999	999	999	999	999	1	999	999	1	0	999	999	999	999
999	999	999	1	999	999	999	999	999	999	0	1	999	1
999	999	999	999	999	999	999	999	1	999	1	0	1	999
999	999	999	999	999	1	999	999	999	999	999	1	0	1
999	999	999	999	999	999	999	999	1	999	1	999	1	0
